7.229600498702555555e-02 7.229600498702555555e-02 7.229600498702555555e-02 7.229600498702555555e-02 7.229600498702555555e-02 7.229600498702555555e-02 7.229600498702555555e-02 7.229600498702555555e-02 7.229600498702555555e-02 7.229600498702555555e-02 7.229600498702555555e-02 7.229600498702555555e-02 7.229600498702555555e-02 7.229600498702555555e-02 7.229600498702555555e-02 7.229600498702555555e-02
1.069363574789834598e-01 1.058296792209347942e-01 1.071266522232242197e-01 1.081013319115575605e-01 1.025137749311308133e-01 1.024451732495790940e-01 1.025457994830445696e-01 1.023951637562400541e-01 1.065844519338259855e-01 1.065907985825966381e-01 1.086529927061580941e-01 1.084897830262905732e-01 1.031859038743104390e-01 1.029562697921092146e-01 1.040425446371241042e-01 1.042136244549788926e-01
1.530661618263436108e-01 1.533945518262654351e-01 1.552782754121637410e-01 1.564080477189986607e-01 1.390666538156906940e-01 1.391423589374701508e-01 1.368737046323940387e-01 1.383150483449624712e-01 1.544708086479947007e-01 1.521387503248886608e-01 1.574567604310697366e-01 1.566286696805390122e-01 1.399871454185830644e-01 1.390643852573475447e-01 1.396684603618864873e-01 1.399421822318098751e-01
1.926098266340172394e-01 1.901481471201166007e-01 1.931043535946699030e-01 1.989875374859688406e-01 1.691683825002510966e-01 1.661201810977911697e-01 1.699910559915469299e-01 1.718851926773732608e-01 1.890963271088716424e-01 1.901337163781381678e-01 1.969572295728454492e-01 1.984409210640956933e-01 1.683947180523875375e-01 1.682680151225013354e-01 1.712866864167388037e-01 1.728088587832939671e-01
2.216266783185416867e-01 2.198977975260609785e-01 2.215486149534717508e-01 2.245803962399948728e-01 1.916695430876097506e-01 1.947060558003829989e-01 1.996118701835570552e-01 2.010817043522013514e-01 2.217659034086466863e-01 2.218255763215391252e-01 2.249514880096589176e-01 2.251150771834995179e-01 1.963242864426795464e-01 1.962794481321916695e-01 2.025096236138410888e-01 2.022865333880518313e-01
2.491665920389805611e-01 2.455682899071863767e-01 2.500427576676267361e-01 2.556985350783703703e-01 2.262778373837520673e-01 2.268343112278583540e-01 2.309834858606677754e-01 2.328698466845633142e-01 2.458351645057805790e-01 2.483208525315743209e-01 2.531120863203979443e-01 2.542600810057846772e-01 2.260484419477017948e-01 2.280334191854478387e-01 2.341430367603282714e-01 2.345427157673305452e-01
2.691522043660113939e-01 2.689431718789375148e-01 2.726608136308426578e-01 2.798645632377812498e-01 2.462391846919664284e-01 2.474529708367524394e-01 2.510387266892505909e-01 2.544658220249941261e-01 2.702261156923203012e-01 2.726935248946467660e-01 2.774428471213546410e-01 2.807493662653217648e-01 2.456868659127587062e-01 2.473755856179755686e-01 2.536342442893462223e-01 2.562661950326999838e-01
2.920428932577083248e-01 2.939681938845468134e-01 2.959643229966459343e-01 2.997115553245667807e-01 2.665996064433411861e-01 2.666400229298338531e-01 2.644844487439359515e-01 2.694755664044216625e-01 2.951927851935342573e-01 2.966373398852363286e-01 3.002212554561160540e-01 3.024850397050638517e-01 2.652285343147909313e-01 2.690619023158683509e-01 2.665815927277165320e-01 2.763897961858547969e-01
3.063529148425954141e-01 3.104714261219303495e-01 3.077020923681431652e-01 3.178059268019058359e-01 2.758830182778315154e-01 2.764954704058872337e-01 2.748327752166710991e-01 2.800118169176556981e-01 3.102160040640203897e-01 3.115340442719358727e-01 3.153884201597157433e-01 3.195728518220217196e-01 2.770450438999336740e-01 2.791141665232071967e-01 2.803433766070099753e-01 2.851537054953035555e-01
3.192920648779711823e-01 3.225642618286168606e-01 3.207459433408283433e-01 3.280396476032489961e-01 2.878102942944381626e-01 2.933031468265649977e-01 2.923020973825453672e-01 2.980353784137947937e-01 3.245724391731742431e-01 3.242575542591891180e-01 3.263503744879356905e-01 3.305575516928869195e-01 2.925973150900955666e-01 2.950317450094786520e-01 2.964898420581441596e-01 2.995413637138746865e-01
3.281908600984940194e-01 3.314229866484085796e-01 3.305500151570722189e-01 3.366266909481809844e-01 2.970549000450153909e-01 3.056619064200367664e-01 2.996053063953255657e-01 3.082777275502511238e-01 3.358258609969376751e-01 3.342754881028397462e-01 3.370889899836189696e-01 3.413446770617968862e-01 3.043999137378484154e-01 3.063836308657462704e-01 3.075341970976470107e-01 3.126170477003412662e-01
3.334843999790232938e-01 3.408498030796688893e-01 3.355374083812959207e-01 3.471556114705413032e-01 3.026466029733227980e-01 3.083448547665937345e-01 3.060574763331991299e-01 3.186249221523674291e-01 3.426306807690561174e-01 3.414257390536282188e-01 3.481102376035123402e-01 3.488698855757912942e-01 3.072281358836916887e-01 3.109588054655483269e-01 3.154057964031460881e-01 3.207405841864047202e-01
3.382945755846399338e-01 3.480737783140237518e-01 3.415153090556027338e-01 3.538572500271959242e-01 3.086169011264062734e-01 3.165228891342720119e-01 3.100518116394861967e-01 3.236261354017787029e-01 3.482280327114569696e-01 3.497966236654693195e-01 3.528507551035630074e-01 3.565384309387206740e-01 3.154132311113286291e-01 3.178011543762725433e-01 3.214157086181546608e-01 3.271976424228041358e-01
3.435486378320881662e-01 3.530090771494222013e-01 3.461350379340900063e-01 3.611499175613552270e-01 3.123284493476249923e-01 3.189778378047974372e-01 3.167689699994693520e-01 3.252882825852831949e-01 3.524390494586389644e-01 3.546552801088510010e-01 3.584470579300483295e-01 3.638192090088677721e-01 3.202735825091124200e-01 3.225565679112418205e-01 3.284724352382807910e-01 3.296839837815147556e-01
3.496056455972532118e-01 3.581038972113503860e-01 3.512971527165977270e-01 3.651164188761731877e-01 3.170658657662926982e-01 3.238432675795653304e-01 3.165697115614803936e-01 3.275943595623008742e-01 3.537144489994606400e-01 3.613907418473670252e-01 3.618094897437659774e-01 3.680520318915247446e-01 3.249259145081178635e-01 3.246131186476899355e-01 3.313496881146857365e-01 3.325562957008235676e-01
3.516245596539626650e-01 3.586214527320290557e-01 3.540720364842559476e-01 3.652405326089130932e-01 3.184993362378563120e-01 3.267666938180859293e-01 3.186983006485408221e-01 3.303492054476551143e-01 3.564880447170630795e-01 3.633397671296419440e-01 3.647000843206327225e-01 3.720191665427464156e-01 3.294351653267015845e-01 3.295536930320984159e-01 3.340664116473985867e-01 3.341848782118607142e-01
3.515212579038637375e-01 3.599628980517852184e-01 3.558803217031562549e-01 3.667521563429693154e-01 3.169481752514133333e-01 3.272496317347033945e-01 3.191331206206478033e-01 3.331597036763227493e-01 3.591309061637907862e-01 3.621645246309496136e-01 3.688324916984714319e-01 3.708701855291003935e-01 3.286065435726862605e-01 3.293034819123978885e-01 3.333590818606011474e-01 3.364227804739075012e-01
