1 0.491 0.679 0.300 0.415
1 0.623 0.476 0.381 0.291
1 0.444 0.716 0.201 0.324
1 0.653 0.610 0.295 0.276
1 0.467 0.632 0.212 0.286
1 0.456 0.777 0.207 0.352
1 1.059 0.962 0.307 0.279
1 0.992 0.827 0.288 0.240
1 0.704 0.554 0.323 0.254
1 0.673 0.523 0.308 0.239
1 0.770 1.012 0.352 0.463
1 0.554 0.740 0.253 0.338
1 0.642 0.971 0.306 0.463
1 0.526 0.713 0.251 0.340
1 0.431 0.592 0.189 0.260
1 0.870 1.167 0.382 0.512
1 0.508 0.836 0.251 0.413
1 0.699 0.561 0.345 0.277
1 0.834 0.950 0.567 0.645
1 0.653 0.624 0.444 0.424
1 0.660 0.530 0.513 0.411
1 0.576 0.810 0.447 0.629
