  -5.156  -999.0   -9.99  -999.0
  -4.865  -999.0   -9.99  -999.0
  -3.507  -999.0   -9.99  -999.0
  -3.491  -999.0   -9.99  -999.0
  -2.795  -999.0   -9.99  -999.0
  -5.916  -999.0   -9.99  -999.0
  -4.704  -999.0   -9.99  -999.0
  -3.562  -999.0   -9.99  -999.0
  -6.501  -999.0   -9.99  -999.0
  -9.327  -999.0   -9.99  -999.0
  -9.483  -999.0   -9.99  -999.0
  -4.181  -999.0   -9.99  -999.0
  -3.492  -999.0   -9.99  -999.0
   0.164 348.517   -9.99  -999.0
   0.178 337.496   -9.99  -999.0
   0.191 333.233   -9.99  -999.0
    0.32 324.704   -9.99  -999.0
   0.172 336.396   -9.99  -999.0
   0.093 350.838   -9.99  -999.0
   0.134 369.258   -9.99  -999.0
   0.128  366.65   -9.99  -999.0
   0.177 368.746   -9.99  -999.0
   0.182 365.413   -9.99  -999.0
   0.189 358.925   -9.99  -999.0
   0.171  365.45   -9.99  -999.0
    0.08 344.283   -9.99  -999.0
   0.177 343.404   -9.99  -999.0
   0.171 360.913   -9.99  -999.0
   0.136 345.013   -9.99  -999.0
   0.128 341.621   -9.99  -999.0
   0.159   347.4   -9.99  -999.0
   0.101 350.283   -9.99  -999.0
    0.15 352.562   -9.99  -999.0
   0.129 358.317   -9.99  -999.0
    0.14 356.925   -9.99  -999.0
   0.062 351.858   -9.99  -999.0
    0.06 330.238   -9.99  -999.0
   0.609 312.275   -9.99  -999.0
   0.644 293.858   0.078     6.0
   0.688 285.608   -9.99  -999.0
   0.636 296.246   -9.99  -999.0
    0.65 298.629   -9.99  -999.0
   0.517 307.933   -9.99  -999.0
  -999.0 305.638   -9.99  -999.0
   0.809 292.921   -9.99  -999.0
   0.704 267.438   -9.99  -999.0
   0.707 281.079   -9.99  -999.0
   0.685   307.5   -9.99  -999.0
   0.707 311.421   -9.99  -999.0
   0.789 305.858   -9.99  -999.0
   0.813 292.988   -9.99  -999.0
  -999.0 301.688   -9.99  -999.0
   0.722 322.408    0.16    34.0
   0.582 321.792   -9.99  -999.0
   0.495 315.463   -9.99  -999.0
   0.461 306.433   -9.99  -999.0
   0.456 311.004   -9.99  -999.0
   0.411 314.754   -9.99  -999.0
   0.379 310.458   -9.99  -999.0
   0.312 317.133     0.0     0.0
    0.27 311.721   -9.99  -999.0
   0.345 303.133   -9.99  -999.0
   0.292 314.492   -9.99  -999.0
   0.212  313.95   -9.99  -999.0
   0.253 305.217   -9.99  -999.0
   0.177 304.938   -9.99  -999.0
   0.232 302.321     0.0     0.0
   0.208 319.471   -9.99  -999.0
   0.194 316.775   -9.99  -999.0
   0.191 326.704   -9.99  -999.0
   0.196 317.692   -9.99  -999.0
   0.199 313.246   -9.99  -999.0
   0.199 311.908   -9.99  -999.0
     0.2 309.646     0.0     0.0
   0.203 306.988   -9.99  -999.0
   0.157 308.875   -9.99  -999.0
   0.181 311.942   -9.99  -999.0
   0.714 317.204   -9.99  -999.0
  -999.0 294.029   -9.99  -999.0
  -999.0 311.946   -9.99  -999.0
   0.764 276.117   0.268    41.0
   0.643 263.846   -9.99  -999.0
   0.658 272.792   -9.99  -999.0
    0.72   317.3   -9.99  -999.0
   0.702   311.7   -9.99  -999.0
   0.579 302.175   -9.99  -999.0
  -999.0 304.238   -9.99  -999.0
  -999.0 303.092   0.302    56.0
  -999.0 300.529   -9.99  -999.0
   0.817 287.229   -9.99  -999.0
    0.68  264.85   -9.99  -999.0
   0.712   292.6   -9.99  -999.0
   0.715 318.238   -9.99  -999.0
  -999.0 315.725   -9.99  -999.0
   0.773 295.979   0.428    87.0
   0.714  284.35   -9.99  -999.0
   0.696   297.1   -9.99  -999.0
  -999.0 317.125   -9.99  -999.0
   0.679 304.371   -9.99  -999.0
   0.656 311.508   -9.99  -999.0
   0.699   315.6   -9.99  -999.0
   0.643 305.292   0.325    88.0
   0.651 292.242   -9.99  -999.0
   0.656 305.904   0.344    98.0
   0.782 306.908   -9.99  -999.0
   0.644 275.683   -9.99  -999.0
   0.702 282.425   -9.99  -999.0
   0.692 289.721   -9.99  -999.0
   0.683 288.317   0.309    91.0
   0.725 302.954   -9.99  -999.0
   0.828 294.975   -9.99  -999.0
    0.78 314.546   -9.99  -999.0
  -999.0 315.238   -9.99  -999.0
  -999.0   282.1   -9.99  -999.0
  -999.0 284.858   -9.99  -999.0
  -999.0 281.596    0.93   171.0
  -999.0 273.542   -9.99  -999.0
  -999.0 260.888   -9.99  -999.0
  -999.0 246.833   -9.99  -999.0
    0.73 255.692   -9.99  -999.0
   0.677  240.55   -9.99  -999.0
   0.716 241.475   -9.99  -999.0
   0.805 287.633   0.853   195.0
   0.834 299.071   -9.99  -999.0
  -999.0 289.771   -9.99  -999.0
  -999.0 290.021   -9.99  -999.0
   0.753 269.454   -9.99  -999.0
   0.731 279.971   -9.99  -999.0
   0.769 293.429   -9.99  -999.0
   0.744 279.846   0.848   220.0
    0.74 284.242   -9.99  -999.0
    0.73 287.867    0.84   219.0
   0.713 300.488   -9.99  -999.0
   0.798 320.158   -9.99  -999.0
   0.735 323.342   -9.99  -999.0
   0.842 303.204   -9.99  -999.0
  -999.0  290.35   1.057   302.0
  -999.0  285.75   -9.99  -999.0
  -999.0 280.946   -9.99  -999.0
   0.777 274.367   -9.99  -999.0
   0.776 271.088   -9.99  -999.0
   0.815 289.179   -9.99  -999.0
  -999.0 286.658   -9.99  -999.0
  -999.0 282.358   1.275   290.0
  -999.0 270.317   -9.99  -999.0
  -999.0 276.083   -9.99  -999.0
