1 127.766 120.461 0.702 0.662
1 120.901 112.353 0.945 0.878
1 123.601 128.842 0.769 0.802
1 110.773  90.838 0.562 0.461
1 157.188 128.307 0.672 0.549
1  21.830  27.891 0.247 0.316
1  36.404  33.146 0.688 0.626
1  22.445  27.061 0.273 0.329
1  22.109  25.480 0.282 0.325
1  46.608  56.376 0.356 0.431
2 127.766 125.601 0.702 0.690
2 120.901 113.739 0.945 0.889
2 123.601 131.538 0.769 0.819
2 110.773  97.657 0.562 0.495
2 157.188 137.025 0.672 0.586
2  21.830  29.708 0.247 0.336
2  36.404  34.143 0.688 0.645
2  22.445  29.026 0.273 0.353
2  22.109  27.336 0.282 0.349
2  46.608  59.806 0.356 0.457
