1 255.101 253.249 1.091 1.083
1 227.550 228.447 1.057 1.061
1 265.507 263.831 1.047 1.040
1 246.650 250.298 1.122 1.138
1 273.809 273.722 1.091 1.091
1 281.073 275.858 1.140 1.119
1 272.462 271.485 1.060 1.056
1 273.168 268.073 1.156 1.135
1 283.832 280.832 1.115 1.104
1 265.697 265.075 1.156 1.154
2 255.101 252.677 1.091 1.080
2 227.550 228.117 1.057 1.059
2 265.507 263.498 1.047 1.039
2 246.650 249.550 1.122 1.135
2 273.809 272.890 1.091 1.088
2 281.073 275.528 1.140 1.118
2 272.462 271.194 1.060 1.055
2 273.168 267.491 1.156 1.132
2 283.832 280.483 1.115 1.102
2 265.697 264.727 1.156 1.152
